"_id",title,module,isMulti,subjects.0,subjects.1,subjects.2,subjects.3,skills.0,skills.1,skills.2,test,difficulty,standardTime,optionsType,options.0.option,options.0.answer,options.0.reason,options.0._id,options.1.option,options.1.answer,options.1.reason,options.1._id,options.2.option,options.2.answer,options.2.reason,options.2._id,options.3.option,options.3.answer,options.3.reason,options.3._id,createdAt,updatedAt,__v,image.public_id,image.url
65179a53cec57bcac4d82f9f,What is 10% of 470?,651197fa233d9373ce930f5d,false,Heart of Algebra,,,,Basic algebra,,,65119744233d9373ce930f24,easy,30000,string,37,wrong,Careless,65179a53cec57bcac4d82fa0,47,right,470 * 10% = 47,65179a53cec57bcac4d82fa1,423,wrong,Careless,65179a53cec57bcac4d82fa2,460,wrong,Careless,65179a53cec57bcac4d82fa3,2023-09-30T03:47:31.131Z,2023-10-05T05:00:28.433Z,0,,
65179c96840c320ac966b3ad,4x + 6 = 18,651197fa233d9373ce930f5d,false,Linear equation,,,,Solving linear equations,,,65119744233d9373ce930f24,easy,30000,string," 4x = 108",wrong,Careless,65179c96840c320ac966b3ae," 4x = 24",wrong,Careless,65179c96840c320ac966b3af,4x = 12,right,4x = 18 - 6 = 12,65179c96840c320ac966b3b0,4x = 3,wrong,Careless,65179c96840c320ac966b3b1,2023-09-30T03:57:10.208Z,2023-10-01T04:04:08.430Z,0,,
65179fb9faee1ec412fa760b,"The total cost, in dollars, to rent a surfboard consists of a 25 dollars service fee and a 10 dollars per hour rental fee. A person rents a surfboard for t hours and intends to spend a maximum of $75 to rent the surfboard. Which inequality represents this situation?",651197fa233d9373ce930f5d,false,Word problem,,,,Understanding word problems,Solving inequalities,,65119744233d9373ce930f24,easy,30000,string,10t ≤ 75,wrong,Careless,65179fb9faee1ec412fa760c,10 + 25t ≤ 75,wrong,Misunderstanding word problem,65179fb9faee1ec412fa760d,25t ≤ 75,wrong,Careless,65179fb9faee1ec412fa760e,25 + 10t ≤ 75,right,"The cost of the rental fee depends on the number of hours
the surfboard is rented. Multiplying t hours by 10 dollars per hour yields a rental
fee of 10t dollars. The total cost of the rental consists of the rental fee plus the
25 dollar service fee, which yields a total cost of 25 10 + t dollars. Since the
person intends to spend a maximum of 75 dollars to rent the surfboard, the
total cost must be at most 75 dollars. Therefore, the inequality 25 10 75 + £t
represents this situation.",65179fb9faee1ec412fa760f,2023-09-30T04:10:33.629Z,2023-10-02T04:18:20.826Z,0,,
6518ed308c1358e51f7b80ef,"The function g is defined by $g(x) =  x^{2}  + 9$ . For which value of x is g(x) = 25 ? ",651197fa233d9373ce930f5d,false,Quadratic Equation,,,,Solving quadratic equations,,,65119744233d9373ce930f24,easy,30000,string,4,right,"It’s given that ( ) 2 gx x = +9. Substituting 25 for g x( ) in this
equation yields 2 25 9 = + x . Subtracting 9 from both sides of this equation yields 2 16= x . Taking the square root of each side of this equation yields x = ±4. It
follows that g x( )=25 when the value of x is 4 or -4. Only 4 is listed among
the choices.",6518ed308c1358e51f7b80f0,5,wrong,Careless,6518ed308c1358e51f7b80f1,9,wrong,Careless,6518ed308c1358e51f7b80f2,13,wrong,Careless,6518ed308c1358e51f7b80f3,2023-10-01T03:53:20.779Z,2023-10-02T06:31:11.601Z,0,,
6518ee9249056316eafc8650,"Each face of a fair 14-sided die is labeled with a number from 1 through 14, with a different number appearing on each face. If the die is rolled one time, what is the probability of rolling a 2? ",651197fa233d9373ce930f5d,false,Probability,Word problem,,,Solving word problems,,,65119744233d9373ce930f24,easy,40000,string,$\frac{1}{14}$,right,"The total number of possible outcomes for rolling a fair
14-sided die is 14. The number of possible outcomes for rolling a 2 is 1. The probability of rolling a 2 is the number of possible outcomes for rolling a 2 divided by the total number of possible outcomes, or  $\frac{1}{14}$ .",6518ee9249056316eafc8651,$\frac{2}{14}$,wrong,Conceptual understanding,6518ee9249056316eafc8652,$\frac{12}{14}$,wrong,Conceptual understanding,6518ee9249056316eafc8653,$\frac{13}{14}$,wrong,Conceptual understanding,6518ee9249056316eafc8654,2023-10-01T03:59:14.429Z,2023-10-05T04:32:01.483Z,0,,
6518f054d41e92400a0cc183,"A printer produces posters at a constant rate of 42 posters per minute. At what rate, in posters per hour, does the printer produce the posters?",651197fa233d9373ce930f5d,false,Word problem,,,,Understanding word problems,,,65119744233d9373ce930f24,easy,40000,type,2520,right,"There are 60 minutes in one hour. At a rate of
42 posters per minute, the number of posters produced in one hour can be
determined by 42 x 60 which is 2,520 posters per hour",6518f054d41e92400a0cc184,,,,,,,,,,,,,2023-10-01T04:06:44.987Z,2023-10-01T04:06:44.987Z,0,,
6518f13fd41e92400a0cc1fa,"The function f is defined by the equation $f(x) = 7 + 2$. What is the value of $f(x)$ when $x = 4$ ? ",651197fa233d9373ce930f5d,false,Linear equation,,,,Solving linear equations,,,65119744233d9373ce930f24,easy,30000,type,30,right,"The correct answer is 30. The value of f x( ) when  x = 4 can be found by substituting 4 for x in the given equation f(x) = 7x +  2. This yields f(4) = 7 (4)  + 2 , or f(4) = 30 . Therefore, when  x = 4, the value of f(x) is 30.",6518f13fd41e92400a0cc1fb,,,,,,,,,,,,,2023-10-01T04:10:39.270Z,2023-10-01T04:10:39.270Z,0,,
651a286909d8940489f598ec,"A teacher is creating an assignment worth 70 points. The assignment will consist of questions worth 1 point and questions worth 3 points. Which equation represents this situation, where x represents the number of 1-point questions and y represents the number of 3-point questions? ",651197fa233d9373ce930f5d,false,Word problem,,,,Understanding word problems,,,65119744233d9373ce930f24,easy,40000,string,4xy = 70,wrong,Conceptual understanding,651a286909d8940489f598ed,4(x + y) = 70,wrong,Conceptual understanding,651a286909d8940489f598ee,3x + y = 70,wrong,Careless,651a286909d8940489f598ef,x + 3y = 70,right,"Since x represents the number of 1-point questions and
y represents the number of 3-point questions, the assignment is worth a total of 1x + 3y + , or  x + 3y , points. Since the assignment is worth 70 points, the equation x + 3y = 70 represents this situation",651a286909d8940489f598f0,2023-10-02T02:18:17.283Z,2023-10-02T02:18:17.283Z,0,,
651a295809d8940489f59952,"Right triangles LMN and PQR are similar, where L and M correspond to P and Q, respectively. Angle M has a measure of 53°. What is the measure of angle Q ? ",651197fa233d9373ce930f5d,false,Geometry,,,,Basic geometry,,,65119744233d9373ce930f24,easy,60000,string,37°,wrong,Careless,651a295809d8940489f59953,53°,right,"It’s given that triangle LMN is similar to triangle PQR.
Corresponding angles of similar triangles are congruent. Since angle M and angle Q correspond to each other, they must be congruent. Therefore, if the measure of angle M is 53° , then the measure of angle Q is also 53°",651a295809d8940489f59954," 127°",wrong,Careless,651a295809d8940489f59955,143°,wrong,Conceptual understanding,651a295809d8940489f59956,2023-10-02T02:22:16.442Z,2023-10-02T02:22:16.442Z,0,,
651a2a8d09d8940489f599c4,"The solution to the given system of equations is (x, y). What is the value of x ?",651197fa233d9373ce930f5d,false,System of equation,,,,Solving system of equations,,,65119744233d9373ce930f24,easy,40000,string,1,wrong,Careless,651a2a8d09d8940489f599c5,5,wrong,Careless,651a2a8d09d8940489f599c6,15,right,"The given system of linear equations can be solved by the substitution method. Substituting -3x  for y from the first equation in the given system into the second equation yields 4x + (-3x) = 15 , or x =15",651a2a8d09d8940489f599c7,"45 ",wrong,Careless,651a2a8d09d8940489f599c8,2023-10-02T02:27:25.240Z,2023-10-02T03:02:44.355Z,0,quizapp/question/jfnw8nzaq4ul61xkiecu,https://res.cloudinary.com/dcdaiv3ko/image/upload/v1696215763/quizapp/question/jfnw8nzaq4ul61xkiecu.png
